rank,descriptor,encoded_feature,mean_abs_shap,n_rows_observed_R,holdout_random_state
56,Top Electrode Al,cat__top_electrode_Al,0.001985692678739368,112,42
57,Ionic Groups Carboxyl,cat__ionic_groups_carboxyl,0.0019678016456467526,112,42
58,"Ionic Groups Amino, Hydroxyl","cat__ionic_groups_amino, hydroxyl",0.0018144418137275428,112,42
59,"Ionic Groups Imidazole, Sulfonate, Carboxyl, Hydroxyl","cat__ionic_groups_imidazole, sulfonate, carboxyl, hydroxyl",0.0014914419322371191,112,42
60,"Ionic Groups Hydroxyl, Carboxyl, Amino","cat__ionic_groups_hydroxyl, carboxyl, amino",0.0014215839958127627,112,42
61,"Ionic Groups Carboxyl, Hydroxyl, Amino ","cat__ionic_groups_carboxyl, hydroxyl, amino ",0.001419418243242572,112,42
62,"Ionic Groups Silanol, Carboxyl, Hydroxyl","cat__ionic_groups_silanol, carboxyl, hydroxyl",0.0014149384780453623,112,42
63,Material Class Mof/Cof,cat__material_class_MOF/COF,0.0012988984115657293,112,42
64,"Ionic Groups Hydroxyl, Carboxyl, Amino ","cat__ionic_groups_hydroxyl, carboxyl, amino ",0.0012581103537783792,112,42
65,"Ionic Groups Sulfonate, Quaternary Ammonium, Hydroxyl ","cat__ionic_groups_sulfonate, quaternary ammonium, hydroxyl ",0.001201319941023107,112,42
66,"Ionic Groups Carboxyl, Hydroxyl, Sulfonate","cat__ionic_groups_carboxyl, hydroxyl, sulfonate",0.0009568408117542691,112,42
67,"Ionic Groups Carboxyl, Quaternary Ammonium, Amide ","cat__ionic_groups_carboxyl, quaternary ammonium, amide ",0.0008774894885430495,112,42
68,"Ionic Groups Sulfonate, Amino","cat__ionic_groups_sulfonate, amino",0.000786826544622763,112,42
69,"Ionic Groups Sulfonate, Carboxyl, Hydroxyl ","cat__ionic_groups_sulfonate, carboxyl, hydroxyl ",0.0006003090991630017,112,42
70,Structure Class Hydrogel + Porous,cat__structure_class_hydrogel + porous,0.0005406823120581742,112,42
71,"Ionic Groups Hydroxyl, Cyano","cat__ionic_groups_hydroxyl, cyano",0.0005156442520228621,112,42
72,Bottom Electrode Ni,cat__bottom_electrode_Ni,0.0005103289661984035,112,42
73,"Ionic Groups Carboxyl, Hydroxyl, Quaternary Ammonium","cat__ionic_groups_carboxyl, hydroxyl, quaternary_ammonium",0.0004824141565059023,112,42
74,Ionic Groups Ammonium,cat__ionic_groups_ammonium,0.0004671638943280436,112,42
75,"Ionic Groups Hydroxyl, Sulfonate ","cat__ionic_groups_hydroxyl, sulfonate ",0.0003810794116987391,112,42
76,Top Electrode To,cat__top_electrode_TO,0.0003746334398423971,112,42
77,Structure Class Hydrogel + Film,cat__structure_class_hydrogel + film,0.0003440236503772588,112,42
78,"Ionic Groups Carboxyl, Hydroxyl, Imidazolium, Bromide ","cat__ionic_groups_carboxyl, hydroxyl, imidazolium, bromide ",0.00026142737180601886,112,42
79,"Ionic Groups Carboxyl, Hydroxyl, Sulfonate ","cat__ionic_groups_carboxyl, hydroxyl, sulfonate ",0.0002474284015455286,112,42
80,"Ionic Groups Sulfonate, Phosphate, Hydroxyl ","cat__ionic_groups_sulfonate, phosphate, hydroxyl ",0.00019558732343314902,112,42
81,Ionic Groups Carboxylate,cat__ionic_groups_carboxylate,0.00018358394537316833,112,42
82,"Ionic Groups Hydroxyl, Silanol, Sulfonic Acid","cat__ionic_groups_hydroxyl, silanol, sulfonic acid",9.733579509967211e-05,112,42
83,"Ionic Groups Carboxyl, Hydroxyl, Imidazolium, Chloride ","cat__ionic_groups_carboxyl, hydroxyl, imidazolium, chloride ",8.865850378806722e-05,112,42
84,Bottom Electrode To,cat__bottom_electrode_TO,7.725219435932429e-05,112,42
85,Top Electrode Ni,cat__top_electrode_Ni,6.543275695091154e-05,112,42
