canonical_row_index,paper_doi,resistance_availability,internal_resistance_Mohm,log_internal_resistance_Mohm
87,10.1016/j.nanoen.2020.104610,R reported,0.8,-0.0969100130080563
88,10.1016/j.nanoen.2023.108973,R reported,13.1,1.1172712956557642
89,10.1021/acsnano.0c04686,R missing,,
90,10.1039/d0ta11974a,R missing,,
91,10.1021/acsaem.4c00368,R reported,0.12,-0.9208187539523752
92,10.1021/acsami.0c17931,R reported,100.0,2.0
93,10.1039/d1ta10865d,R missing,,
94,10.1039/c8ta02505c,R missing,,
95,10.1002/adfm.202418834,R reported,1.0,0.0
96,10.1016/j.nanoen.2021.106529,R missing,,
97,10.1021/acsnano.4c09494,R reported,1.0,0.0
98,10.1016/j.cej.2024.156026,R missing,,
99,10.1002/adma.202509865,R missing,,
100,10.1002/adma.202304099,R reported,1.59,0.2013971243204515
101,10.1038/s41586-020-2010-9,R reported,1.0,0.0
102,10.1002/advs.202206483,R missing,,
103,10.1021/acsami.3c14264,R reported,1.0,0.0
104,10.1016/j.reactfunctpolym.2023.105806,R reported,42.5,1.6283889300503116
105,10.1039/C9EE00838A,R reported,10.0,1.0
106,10.1016/j.applthermaleng.2025.127255,R reported,0.49,-0.3098039199714863
107,10.1016/j.apsusc.2025.164747,R reported,200.0,2.3010299956639813
108,10.1021/acsnano.1c07186,R missing,,
109,10.1021/acs.langmuir.2c00566,R missing,,
110,10.1016/j.nanoen.2022.107017,R reported,10.0,1.0
111,10.1016/j.nanoen.2020.104922,R reported,0.741,-0.1301817920206718
112,10.1038/s41467-024-49393-9,R reported,0.001,-3.0
113,10.1016/j.nanoen.2024.110187,R reported,0.22,-0.6575773191777937
114,10.1063/5.0139883,R reported,1.0,0.0
115,10.1016/j.enconman.2023.117256,R missing,,
116,10.1016/j.cej.2023.143443,R reported,1.0,0.0
117,10.1021/acssuschemeng.5c09332,R reported,0.01,-2.0
118,10.1016/j.nanoen.2020.105630,R reported,0.003,-2.5228787452803374
119,10.1021/acsnano.3c08543,R missing,,
120,10.1021/acsami.2c12777,R missing,,
121,10.1016/j.nanoen.2021.106361,R missing,,
122,10.1038/s41467-022-31221-7,R reported,0.1,-1.0
123,10.1002/adfm.202406901,R reported,0.01,-2.0
124,10.1039/d4cc01652a,R reported,0.036,-1.4436974992327127
125,10.1038/s41467-025-61898-5,R reported,0.01,-2.0
126,10.1002/adma.202201228,R reported,2.2,0.3424226808222063
127,10.1016/j.nanoen.2021.106605,R reported,0.05,-1.3010299956639813
128,10.1038/s41565-021-00903-6,R reported,20.0,1.3010299956639813
129,10.1021/acsnano.4c01179,R reported,0.08,-1.0969100130080565
130,10.1039/C8EE01502C,R reported,50.0,1.6989700043360187
131,10.1021/acs.nanolett.2c00919,R reported,0.07,-1.154901959985743
132,10.1021/acsami.3c08618,R missing,,
133,10.1039/d5ta06289f,R reported,0.0083,-2.0809219076239263
134,10.1039/d2ee00030j,R reported,0.04,-1.3979400086720375
135,10.1016/j.cej.2025.164788,R reported,0.1,-1.0
136,10.1039/d2ta05221k,R reported,0.01,-2.0
137,10.1021/acsami.4c21266,R reported,0.02,-1.6989700043360187
138,10.1021/acsami.4c03828,R reported,1.46,0.1643528557844371
139,10.1016/j.enconman.2025.120396,R reported,0.024,-1.619788758288394
140,10.1016/j.cej.2024.153411,R reported,0.001,-3.0
141,10.1016/j.cej.2024.151660,R reported,0.003,-2.5228787452803374
142,10.1038/s41467-025-60341-z,R reported,0.01,-2.0
143,10.1063/5.0083220,R missing,,
144,10.1038/s41467-023-41371-x,R reported,0.001,-3.0
145,10.1016/j.nanoen.2022.107709,R reported,0.13,-0.8860566476931632
146,10.1016/j.cej.2023.145325,R missing,,
147,10.1038/s41467-022-30156-3,R reported,0.004,-2.397940008672037
148,10.1039/C9EE00252A,R reported,0.05,-1.3010299956639813
149,10.1021/acsenergylett.3c00023,R missing,,
150,10.1002/adfm.202308620,R reported,0.04,-1.3979400086720375
151,10.1002/advs.202300750,R reported,0.1,-1.0
152,10.1038/s41467-024-50396-9,R reported,0.009,-2.0457574905606752
153,10.1016/j.cej.2023.142097,R reported,0.1,-1.0
154,10.1039/d4ta05041j,R missing,,
155,10.1002/adma.202103897,R reported,0.008,-2.096910013008056
156,10.1039/D3EE00843F,R reported,0.0005,-3.3010299956639813
157,10.1016/j.nanoen.2024.110291,R reported,3.0,0.4771212547196624
158,10.1016/j.renene.2025.123945,R missing,,
