section,line_hint,figure_panel,metric,group,value,uncertainty,n,unit,source_file,verified,suggested_sentence,notes
3.2,271-278,Fig. 2B,structure_group_median_log_P_est,hydrogel + porous,0.780,"mean=0.770, std=0.362",4,log(P_est),..\results\paper_numbers\section3_structure_group_summary.csv,yes,,
3.2,271-278,Fig. 2B,structure_group_median_log_P_est,porous,-0.824,"mean=-0.660, std=1.321",118,log(P_est),..\results\paper_numbers\section3_structure_group_summary.csv,yes,,
3.2,279-285,Fig. 2C,ion_group_median_log_P_est,anion,-0.700,"mean=-0.914, std=1.259",9,log(P_est),..\results\paper_numbers\section3_ion_group_summary.csv,yes,,
3.2,279-285,Fig. 2C,ion_group_median_log_P_est,other_cation,0.457,"mean=0.344, std=0.972",54,log(P_est),..\results\paper_numbers\section3_ion_group_summary.csv,yes,,
3.2,279-285,Fig. 2C,ion_group_median_log_P_est,proton,-0.974,"mean=-0.738, std=1.343",96,log(P_est),..\results\paper_numbers\section3_ion_group_summary.csv,yes,,
4.2,331-342,Fig. 3A,model_family_cv_R2,Elastic Net,0.203,0.187,112,CV R2,..\results\figure3_model_comparison\fig3A_tuned_model_comparison.csv,yes,,Validated R1C2 common observed-R subset; no resistance imputation.
4.2,331-342,Fig. 3A,model_family_cv_R2,Random Forest,0.179,0.234,112,CV R2,..\results\figure3_model_comparison\fig3A_tuned_model_comparison.csv,yes,,Validated R1C2 common observed-R subset; no resistance imputation.
4.2,331-342,Fig. 3A,model_family_cv_R2,SVR,0.187,0.185,112,CV R2,..\results\figure3_model_comparison\fig3A_tuned_model_comparison.csv,yes,,Validated R1C2 common observed-R subset; no resistance imputation.
4.2,331-342,Fig. 3A,model_family_cv_R2,XGBoost,0.143,0.231,112,CV R2,..\results\figure3_model_comparison\fig3A_tuned_model_comparison.csv,yes,,Validated R1C2 common observed-R subset; no resistance imputation.
4.3,343-354,Fig. 3B,model_A_to_B_improvement,Elastic Net,0.107,"Model A=0.137, Model B=0.243",112,Delta CV R2,..\results\figure3_model_comparison\fig3B_modelA_modelB_descriptor_augmentation.csv,yes,,Validated R1C2 common observed-R subset; Model A/B use identical CV splits; no resistance imputation.
4.3,343-354,Fig. 3B,model_A_to_B_improvement,Random Forest,0.068,"Model A=0.079, Model B=0.147",112,Delta CV R2,..\results\figure3_model_comparison\fig3B_modelA_modelB_descriptor_augmentation.csv,yes,,Validated R1C2 common observed-R subset; Model A/B use identical CV splits; no resistance imputation.
4.3,343-354,Fig. 3B,model_A_to_B_improvement,SVR,0.187,"Model A=-0.104, Model B=0.083",112,Delta CV R2,..\results\figure3_model_comparison\fig3B_modelA_modelB_descriptor_augmentation.csv,yes,,Validated R1C2 common observed-R subset; Model A/B use identical CV splits; no resistance imputation.
4.3,343-354,Fig. 3B,model_A_to_B_improvement,XGBoost,0.130,"Model A=-0.108, Model B=0.021",112,Delta CV R2,..\results\figure3_model_comparison\fig3B_modelA_modelB_descriptor_augmentation.csv,yes,,Validated R1C2 common observed-R subset; Model A/B use identical CV splits; no resistance imputation.
4.4,360-366,Fig. 3C,feature_block_ablation_delta_R2,Internal resistance,-0.062,"R2 after removal=0.087, std=0.301",112,Delta CV R2,..\results\figure3_model_comparison\fig3C_feature_block_ablation.csv,yes,,Validated R1C2 common observed-R subset; no resistance imputation.
4.4,360-366,Fig. 3C,feature_block_ablation_delta_R2,Ion type,-0.002,"R2 after removal=0.146, std=0.270",112,Delta CV R2,..\results\figure3_model_comparison\fig3C_feature_block_ablation.csv,yes,,Validated R1C2 common observed-R subset; no resistance imputation.
4.4,360-366,Fig. 3C,feature_block_ablation_delta_R2,Material class,-0.054,"R2 after removal=0.095, std=0.302",112,Delta CV R2,..\results\figure3_model_comparison\fig3C_feature_block_ablation.csv,yes,,Validated R1C2 common observed-R subset; no resistance imputation.
4.4,360-366,Fig. 3C,feature_block_ablation_delta_R2,Mechanism labels,0.003,"R2 after removal=0.151, std=0.273",112,Delta CV R2,..\results\figure3_model_comparison\fig3C_feature_block_ablation.csv,yes,,Validated R1C2 common observed-R subset; no resistance imputation.
4.4,360-366,Fig. 3C,feature_block_ablation_delta_R2,Structure,-0.022,"R2 after removal=0.127, std=0.274",112,Delta CV R2,..\results\figure3_model_comparison\fig3C_feature_block_ablation.csv,yes,,Validated R1C2 common observed-R subset; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Anion,0.005,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Bottom Electrode Ag,0.011,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Bottom Electrode Al,0.003,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Bottom Electrode Au,0.041,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Bottom Electrode Carbon,0.006,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Bottom Electrode Cnt,0.003,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Bottom Electrode Cu,0.050,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Bottom Electrode Ni,0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Bottom Electrode Pt,0.008,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Bottom Electrode Steel,0.003,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Bottom Electrode Ti,0.007,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Bottom Electrode To,0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Built In Asymmetry,0.006,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Electrode Symmetry,0.017,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Film structure,0.049,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Has Anionic,0.010,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Has Cationic,0.005,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Has Zwitterionic,0.012,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Inorganic Electrolyte Present,0.018,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Ion-gradient label,0.033,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Amino, Hydroxyl",0.002,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Ionic Groups Ammonium,0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Ionic Groups Carboxyl,0.002,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Carboxyl, Hydroxyl",0.026,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Carboxyl, Hydroxyl ",0.005,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Carboxyl, Hydroxyl, Amino",0.025,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Carboxyl, Hydroxyl, Amino ",0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Carboxyl, Hydroxyl, Imidazolium, Bromide ",0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Carboxyl, Hydroxyl, Imidazolium, Chloride ",0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Carboxyl, Hydroxyl, Sulfonate",0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Carboxyl, Hydroxyl, Sulfonate ",0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Carboxyl, Hydroxyl, Sulfonate, Amino",0.003,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Carboxyl, Hydroxyl, Quaternary Ammonium",0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Carboxyl, Quaternary Ammonium, Amide ",0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Carboxyl, Quaternary Ammonium, Amino, Hydroxyl ",0.002,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Ionic Groups Carboxylate,0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Ionic Groups Hydroxyl,0.007,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Hydroxyl, Carboxyl, Amino",0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Hydroxyl, Carboxyl, Amino ",0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Hydroxyl, Cyano",0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Hydroxyl, Silanol, Sulfonic Acid",0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Hydroxyl, Sulfonate ",0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Hydroxyl, Ti-O, Sn-O ",0.011,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Imidazole, Sulfonate, Carboxyl, Hydroxyl",0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Ionic Groups Residual Hydrogen On Mos2,0.007,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Ionic Groups Silanol ,0.004,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Ionic Groups Silanol Hydroxyl,0.002,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Silanol, Carboxyl, Hydroxyl",0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Ionic Groups Sulfonate,0.021,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Sulfonate, Amino",0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Sulfonate, Carboxyl, Hydroxyl ",0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Sulfonate, Hydroxyl",0.003,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Sulfonate, Phosphate, Hydroxyl ",0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,"Ionic Groups Sulfonate, Quaternary Ammonium, Hydroxyl ",0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Material Class Biomass,0.051,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Material Class Carbon,0.025,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Material Class Metal Oxide,0.005,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Material Class Mof/Cof,0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Material Class Others,0.010,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Material Class Polymer,0.038,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Material Class Semiconductor,0.007,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Metal Electrode,0.036,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Other cation,0.072,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Polyelectrolyte Present,0.003,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Porous structure,0.013,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Proton,0.047,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Streaming label,0.024,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Structure Class Hydrogel,0.012,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Structure Class Hydrogel + Film,0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Structure Class Hydrogel + Porous,0.001,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Top Electrode Ag,0.007,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Top Electrode Al,0.002,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Top Electrode Au,0.047,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Top Electrode Carbon,0.005,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Top Electrode Cnt,0.004,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Top Electrode Cu,0.052,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Top Electrode Ni,0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Top Electrode Pt,0.011,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Top Electrode Steel,0.003,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Top Electrode Ti,0.011,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
